source_case_index,c3_order,case_id,source_i08_case_id,source_name_cn,c3_name_cn,source_stationarity,c3_stationary_eligible,c3_layer,c3_claim,classification_disposition,authority_action,response_value_action
18,13,lanyu_ryan_1995_gust,I08-lanyu_ryan_1995_gust-S20260805,兰屿台风阵风纪录,1995兰屿Ryan站,stationary_ok,true,L3,needs_recheck,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
19,20,patricia_2015_peak,I08-patricia_2015_peak-S20260805,飓风帕特里夏巅峰(风速纪录),2015帕特里夏峰值,stationary_ok,true,L3,offsite_envelope,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
20,19,dorian_2019_landfall,I08-dorian_2019_landfall-S20260805,飓风多里安登陆巴哈马,2019多利安登陆,stationary_ok,true,L3,needs_recheck,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
21,21,gustav_2008_cuba_gust,I08-gustav_2008_cuba_gust-S20260805,飓风古斯塔夫古巴地面阵风,2008古斯塔夫古巴阵风,stationary_ok,true,L3,needs_recheck,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
22,24,amphan_2020_peak,I08-amphan_2020_peak-S20260805,气旋安攀巅峰(孟加拉湾最强),2020安攀峰值,stationary_ok,true,L3,offsite_envelope,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
23,23,nargis_2008_peak,I08-nargis_2008_peak-S20260805,气旋纳尔吉斯巅峰,2008纳尔吉斯峰值,stationary_ok,true,L3,offsite_envelope,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
24,22,bhola_1970_peak,I08-bhola_1970_peak-S20260805,1970博拉气旋,1970博拉气旋峰值,stationary_ok,true,L3,offsite_envelope,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
25,25,ef3_anchor,I08-ef3_anchor-S20260805,EF3龙卷锚点,EF3锚点,reference_only,false,L4,envelope_only,UNCHANGED_REFERENCE_ONLY,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
26,26,ef4_anchor,I08-ef4_anchor-S20260805,EF4龙卷锚点,EF4锚点,reference_only,false,L4,envelope_only,UNCHANGED_REFERENCE_ONLY,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
27,27,ef5_anchor,I08-ef5_anchor-S20260805,EF5龙卷锚点,EF5锚点,reference_only,false,L4,envelope_only,UNCHANGED_REFERENCE_ONLY,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
28,28,funing_2016_ef4,I08-funing_2016_ef4-S20260805,江苏阜宁6·23龙卷(EF4),2016阜宁6·23 EF4,reference_only,false,L4,envelope_only,UNCHANGED_REFERENCE_ONLY,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
29,29,bridge_creek_1999_ref,I08-bridge_creek_1999_ref-S20260805,Bridge Creek龙卷多普勒纪录,1999 Bridge Creek雷达值,reference_only,false,L4,envelope_only,UNCHANGED_REFERENCE_ONLY,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
30,30,dongfangzhixing_2015_downburst,I08-dongfangzhixing_2015_downburst-S20260805,东方之星下击暴流(EF1),2015东方之星下击暴流,reference_only,false,L4,envelope_only,UNCHANGED_REFERENCE_ONLY,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
31,31,andrews_afb_1983_microburst,I08-andrews_afb_1983_microburst-S20260805,Andrews基地微下击暴流,1983 Andrews微暴流,reference_only,false,L4,envelope_only,UNCHANGED_REFERENCE_ONLY,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
32,32,midwest_derecho_2020,I08-midwest_derecho_2020-S20260805,2020美国中西部derecho,2020中西部derecho,reference_only,false,L4,envelope_only,UNCHANGED_REFERENCE_ONLY,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
33,33,great_storm_1987,I08-great_storm_1987-S20260805,1987英吉利大风暴,1987英吉利大风暴,stationary_ok,true,L3,needs_recheck,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
34,34,lothar_1999,I08-lothar_1999-S20260805,1999洛塔尔风暴,1999洛塔尔,stationary_ok,true,L3,needs_recheck,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
35,35,bora_adriatic,I08-bora_adriatic-S20260805,亚得里亚海布拉风,亚得里亚布拉风,stationary_ok,true,L3,needs_recheck,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
36,36,mistral_strong,I08-mistral_strong-S20260805,密史脱拉强事件,密史脱拉强事件,stationary_ok,true,L3,needs_recheck,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
37,37,patagonia_westerlies,I08-patagonia_westerlies-S20260805,巴塔哥尼亚西风带强事件,巴塔哥尼亚西风带,stationary_ok,true,L3,needs_recheck,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
38,38,xinjiang_baili_fengqu,I08-xinjiang_baili_fengqu-S20260805,新疆百里风区(十三间房),新疆百里风区,stationary_ok,true,L3,offsite_reference,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
39,39,cape_denison_katabatic,I08-cape_denison_katabatic-S20260805,南极联邦湾下降风,联邦湾下降风年均,stationary_ok,false,L4,envelope_only,C3_ENVELOPE_ONLY_RECLASSIFIED,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
40,40,thule_1972_gust,I08-thule_1972_gust-S20260805,图勒基地1972阵风,1972图勒阵风,stationary_ok,true,L3,needs_recheck,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
41,41,piteraq_tasiilaq,I08-piteraq_tasiilaq-S20260805,格陵兰皮特拉克风暴,皮特拉克,stationary_ok,false,L4,envelope_only,C3_ENVELOPE_ONLY_RECLASSIFIED,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
42,42,barrow_olivia_1996,I08-barrow_olivia_1996-S20260805,巴罗岛奥利维亚(世界阵风纪录),1996巴罗岛WMO阵风纪录,stationary_ok,true,L3,record_only,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
43,43,mt_washington_1934,I08-mt_washington_1934-S20260805,华盛顿山1934阵风,1934华盛顿山有人值守纪录,stationary_ok,true,L3,record_only,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
