id,source,relation,target,properties_json
edge:0100,evidence-bundle:C3-site_sutong_100yr_obs-S20260830,BINDS_AUTHORITY,authority-record:site_sutong_100yr_obs,{}
edge:0101,evidence-bundle:C3-site_sutong_100yr_obs-S20260830,BINDS_MODAL_RUN,run:C3-FT14,{}
edge:0102,case:C3-site_sutong_100yr_obs-S20260830,IN_GROUP,group:G0_site,{}
edge:0103,case:C3-site_sutong_100yr_obs-S20260830,TARGETS_MODEL,model:C3,"{""response_state"": ""NOT_MATERIALIZED""}"
edge:0104,case:C3-site_sutong_100yr_obs-S20260830,HAS_RESPONSE_STATE,response:C3-site_sutong_100yr_obs-S20260830,{}
edge:0105,case:C3-site_sutong_100yr_obs-S20260830,HAS_AGENT_TRACE,trace:C3-site_sutong_100yr_obs-S20260830,{}
edge:0106,legacy-result:site_sutong_100yr_obs,PART_OF_LEGACY_RESULT_SET,legacy:I08-double-mct,{}
edge:0107,legacy-result:site_sutong_100yr_obs,PROVENANCE_ONLY,case:C3-site_sutong_100yr_obs-S20260830,"{""numerical_value_transfer"": false}"
edge:0108,trace:C3-site_sutong_100yr_obs-S20260830,HAS_STEP,decision:C3-site_sutong_100yr_obs-S20260830:1,"{""step"": 1}"
edge:0109,decision:C3-site_sutong_100yr_obs-S20260830:1,EXECUTED_BY,agent:AuthorityAgent,{}
edge:0110,trace:C3-site_sutong_100yr_obs-S20260830,HAS_STEP,decision:C3-site_sutong_100yr_obs-S20260830:2,"{""step"": 2}"
edge:0111,decision:C3-site_sutong_100yr_obs-S20260830:2,EXECUTED_BY,agent:SolverEvidenceAgent,{}
edge:0112,decision:C3-site_sutong_100yr_obs-S20260830:1,NEXT_STEP,decision:C3-site_sutong_100yr_obs-S20260830:2,{}
edge:0113,trace:C3-site_sutong_100yr_obs-S20260830,HAS_STEP,decision:C3-site_sutong_100yr_obs-S20260830:3,"{""step"": 3}"
edge:0114,decision:C3-site_sutong_100yr_obs-S20260830:3,EXECUTED_BY,agent:PhysicsBoundaryAgent,{}
edge:0115,decision:C3-site_sutong_100yr_obs-S20260830:2,NEXT_STEP,decision:C3-site_sutong_100yr_obs-S20260830:3,{}
edge:0116,trace:C3-site_sutong_100yr_obs-S20260830,HAS_STEP,decision:C3-site_sutong_100yr_obs-S20260830:4,"{""step"": 4}"
edge:0117,decision:C3-site_sutong_100yr_obs-S20260830:4,EXECUTED_BY,agent:WarningPolicyAgent,{}
edge:0118,decision:C3-site_sutong_100yr_obs-S20260830:3,NEXT_STEP,decision:C3-site_sutong_100yr_obs-S20260830:4,{}
edge:0119,project:C3-43KG,HAS_CASE,case:C3-site_gb50009_50yr-S20260830,{}
edge:0120,authority:I08-GITHUB43,CONTAINS_AUTHORITY_RECORD,authority-record:site_gb50009_50yr,{}
edge:0121,case:C3-site_gb50009_50yr-S20260830,DERIVED_FROM_AUTHORITY,authority-record:site_gb50009_50yr,"{""c3_order"": 2, ""source_case_index"": 1}"
edge:0122,event-library:github43,CONTAINS_EVENT,github-event:site_gb50009_50yr,{}
edge:0123,github-event:site_gb50009_50yr,MAPPED_TO,case:C3-site_gb50009_50yr-S20260830,"{""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE""}"
edge:0124,case:C3-site_gb50009_50yr-S20260830,EVIDENCED_BY,evidence-bundle:C3-site_gb50009_50yr-S20260830,{}
edge:0125,evidence-bundle:C3-site_gb50009_50yr-S20260830,BINDS_AUTHORITY,authority-record:site_gb50009_50yr,{}
edge:0126,evidence-bundle:C3-site_gb50009_50yr-S20260830,BINDS_MODAL_RUN,run:C3-FT14,{}
edge:0127,case:C3-site_gb50009_50yr-S20260830,IN_GROUP,group:G0_site,{}
edge:0128,case:C3-site_gb50009_50yr-S20260830,TARGETS_MODEL,model:C3,"{""response_state"": ""NOT_MATERIALIZED""}"
edge:0129,case:C3-site_gb50009_50yr-S20260830,HAS_RESPONSE_STATE,response:C3-site_gb50009_50yr-S20260830,{}
edge:0130,case:C3-site_gb50009_50yr-S20260830,HAS_AGENT_TRACE,trace:C3-site_gb50009_50yr-S20260830,{}
edge:0131,legacy-result:site_gb50009_50yr,PART_OF_LEGACY_RESULT_SET,legacy:I08-double-mct,{}
edge:0132,legacy-result:site_gb50009_50yr,PROVENANCE_ONLY,case:C3-site_gb50009_50yr-S20260830,"{""numerical_value_transfer"": false}"
edge:0133,trace:C3-site_gb50009_50yr-S20260830,HAS_STEP,decision:C3-site_gb50009_50yr-S20260830:1,"{""step"": 1}"
edge:0134,decision:C3-site_gb50009_50yr-S20260830:1,EXECUTED_BY,agent:AuthorityAgent,{}
edge:0135,trace:C3-site_gb50009_50yr-S20260830,HAS_STEP,decision:C3-site_gb50009_50yr-S20260830:2,"{""step"": 2}"
edge:0136,decision:C3-site_gb50009_50yr-S20260830:2,EXECUTED_BY,agent:SolverEvidenceAgent,{}
edge:0137,decision:C3-site_gb50009_50yr-S20260830:1,NEXT_STEP,decision:C3-site_gb50009_50yr-S20260830:2,{}
edge:0138,trace:C3-site_gb50009_50yr-S20260830,HAS_STEP,decision:C3-site_gb50009_50yr-S20260830:3,"{""step"": 3}"
edge:0139,decision:C3-site_gb50009_50yr-S20260830:3,EXECUTED_BY,agent:PhysicsBoundaryAgent,{}
edge:0140,decision:C3-site_gb50009_50yr-S20260830:2,NEXT_STEP,decision:C3-site_gb50009_50yr-S20260830:3,{}
edge:0141,trace:C3-site_gb50009_50yr-S20260830,HAS_STEP,decision:C3-site_gb50009_50yr-S20260830:4,"{""step"": 4}"
edge:0142,decision:C3-site_gb50009_50yr-S20260830:4,EXECUTED_BY,agent:WarningPolicyAgent,{}
edge:0143,decision:C3-site_gb50009_50yr-S20260830:3,NEXT_STEP,decision:C3-site_gb50009_50yr-S20260830:4,{}
edge:0144,project:C3-43KG,HAS_CASE,case:C3-site_gb50009_100yr-S20260830,{}
edge:0145,authority:I08-GITHUB43,CONTAINS_AUTHORITY_RECORD,authority-record:site_gb50009_100yr,{}
edge:0146,case:C3-site_gb50009_100yr-S20260830,DERIVED_FROM_AUTHORITY,authority-record:site_gb50009_100yr,"{""c3_order"": 3, ""source_case_index"": 2}"
edge:0147,event-library:github43,CONTAINS_EVENT,github-event:site_gb50009_100yr,{}
edge:0148,github-event:site_gb50009_100yr,MAPPED_TO,case:C3-site_gb50009_100yr-S20260830,"{""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE""}"
edge:0149,case:C3-site_gb50009_100yr-S20260830,EVIDENCED_BY,evidence-bundle:C3-site_gb50009_100yr-S20260830,{}
edge:0150,evidence-bundle:C3-site_gb50009_100yr-S20260830,BINDS_AUTHORITY,authority-record:site_gb50009_100yr,{}
edge:0151,evidence-bundle:C3-site_gb50009_100yr-S20260830,BINDS_MODAL_RUN,run:C3-FT14,{}
edge:0152,case:C3-site_gb50009_100yr-S20260830,IN_GROUP,group:G0_site,{}
edge:0153,case:C3-site_gb50009_100yr-S20260830,TARGETS_MODEL,model:C3,"{""response_state"": ""NOT_MATERIALIZED""}"
edge:0154,case:C3-site_gb50009_100yr-S20260830,HAS_RESPONSE_STATE,response:C3-site_gb50009_100yr-S20260830,{}
edge:0155,case:C3-site_gb50009_100yr-S20260830,HAS_AGENT_TRACE,trace:C3-site_gb50009_100yr-S20260830,{}
edge:0156,legacy-result:site_gb50009_100yr,PART_OF_LEGACY_RESULT_SET,legacy:I08-double-mct,{}
edge:0157,legacy-result:site_gb50009_100yr,PROVENANCE_ONLY,case:C3-site_gb50009_100yr-S20260830,"{""numerical_value_transfer"": false}"
edge:0158,trace:C3-site_gb50009_100yr-S20260830,HAS_STEP,decision:C3-site_gb50009_100yr-S20260830:1,"{""step"": 1}"
edge:0159,decision:C3-site_gb50009_100yr-S20260830:1,EXECUTED_BY,agent:AuthorityAgent,{}
edge:0160,trace:C3-site_gb50009_100yr-S20260830,HAS_STEP,decision:C3-site_gb50009_100yr-S20260830:2,"{""step"": 2}"
edge:0161,decision:C3-site_gb50009_100yr-S20260830:2,EXECUTED_BY,agent:SolverEvidenceAgent,{}
edge:0162,decision:C3-site_gb50009_100yr-S20260830:1,NEXT_STEP,decision:C3-site_gb50009_100yr-S20260830:2,{}
edge:0163,trace:C3-site_gb50009_100yr-S20260830,HAS_STEP,decision:C3-site_gb50009_100yr-S20260830:3,"{""step"": 3}"
edge:0164,decision:C3-site_gb50009_100yr-S20260830:3,EXECUTED_BY,agent:PhysicsBoundaryAgent,{}
edge:0165,decision:C3-site_gb50009_100yr-S20260830:2,NEXT_STEP,decision:C3-site_gb50009_100yr-S20260830:3,{}
edge:0166,trace:C3-site_gb50009_100yr-S20260830,HAS_STEP,decision:C3-site_gb50009_100yr-S20260830:4,"{""step"": 4}"
edge:0167,decision:C3-site_gb50009_100yr-S20260830:4,EXECUTED_BY,agent:WarningPolicyAgent,{}
edge:0168,decision:C3-site_gb50009_100yr-S20260830:3,NEXT_STEP,decision:C3-site_gb50009_100yr-S20260830:4,{}
edge:0169,project:C3-43KG,HAS_CASE,case:C3-hko_t10-S20260830,{}
edge:0170,authority:I08-GITHUB43,CONTAINS_AUTHORITY_RECORD,authority-record:hko_t10,{}
edge:0171,case:C3-hko_t10-S20260830,DERIVED_FROM_AUTHORITY,authority-record:hko_t10,"{""c3_order"": 4, ""source_case_index"": 4}"
edge:0172,event-library:github43,CONTAINS_EVENT,github-event:hko_t10,{}
edge:0173,github-event:hko_t10,MAPPED_TO,case:C3-hko_t10-S20260830,"{""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE""}"
edge:0174,case:C3-hko_t10-S20260830,EVIDENCED_BY,evidence-bundle:C3-hko_t10-S20260830,{}
edge:0175,evidence-bundle:C3-hko_t10-S20260830,BINDS_AUTHORITY,authority-record:hko_t10,{}
edge:0176,evidence-bundle:C3-hko_t10-S20260830,BINDS_MODAL_RUN,run:C3-FT14,{}
edge:0177,case:C3-hko_t10-S20260830,IN_GROUP,group:G0_site,{}
edge:0178,case:C3-hko_t10-S20260830,TARGETS_MODEL,model:C3,"{""response_state"": ""NOT_MATERIALIZED""}"
edge:0179,case:C3-hko_t10-S20260830,HAS_RESPONSE_STATE,response:C3-hko_t10-S20260830,{}
edge:0180,case:C3-hko_t10-S20260830,HAS_AGENT_TRACE,trace:C3-hko_t10-S20260830,{}
edge:0181,legacy-result:hko_t10,PART_OF_LEGACY_RESULT_SET,legacy:I08-double-mct,{}
edge:0182,legacy-result:hko_t10,PROVENANCE_ONLY,case:C3-hko_t10-S20260830,"{""numerical_value_transfer"": false}"
edge:0183,trace:C3-hko_t10-S20260830,HAS_STEP,decision:C3-hko_t10-S20260830:1,"{""step"": 1}"
edge:0184,decision:C3-hko_t10-S20260830:1,EXECUTED_BY,agent:AuthorityAgent,{}
edge:0185,trace:C3-hko_t10-S20260830,HAS_STEP,decision:C3-hko_t10-S20260830:2,"{""step"": 2}"
edge:0186,decision:C3-hko_t10-S20260830:2,EXECUTED_BY,agent:SolverEvidenceAgent,{}
edge:0187,decision:C3-hko_t10-S20260830:1,NEXT_STEP,decision:C3-hko_t10-S20260830:2,{}
edge:0188,trace:C3-hko_t10-S20260830,HAS_STEP,decision:C3-hko_t10-S20260830:3,"{""step"": 3}"
edge:0189,decision:C3-hko_t10-S20260830:3,EXECUTED_BY,agent:PhysicsBoundaryAgent,{}
edge:0190,decision:C3-hko_t10-S20260830:2,NEXT_STEP,decision:C3-hko_t10-S20260830:3,{}
edge:0191,trace:C3-hko_t10-S20260830,HAS_STEP,decision:C3-hko_t10-S20260830:4,"{""step"": 4}"
edge:0192,decision:C3-hko_t10-S20260830:4,EXECUTED_BY,agent:WarningPolicyAgent,{}
edge:0193,decision:C3-hko_t10-S20260830:3,NEXT_STEP,decision:C3-hko_t10-S20260830:4,{}
edge:0194,project:C3-43KG,HAS_CASE,case:C3-asce7_risk4_fl-S20260830,{}
edge:0195,authority:I08-GITHUB43,CONTAINS_AUTHORITY_RECORD,authority-record:asce7_risk4_fl,{}
edge:0196,case:C3-asce7_risk4_fl-S20260830,DERIVED_FROM_AUTHORITY,authority-record:asce7_risk4_fl,"{""c3_order"": 5, ""source_case_index"": 5}"
edge:0197,event-library:github43,CONTAINS_EVENT,github-event:asce7_risk4_fl,{}
edge:0198,github-event:asce7_risk4_fl,MAPPED_TO,case:C3-asce7_risk4_fl-S20260830,"{""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE""}"
edge:0199,case:C3-asce7_risk4_fl-S20260830,EVIDENCED_BY,evidence-bundle:C3-asce7_risk4_fl-S20260830,{}
edge:0200,evidence-bundle:C3-asce7_risk4_fl-S20260830,BINDS_AUTHORITY,authority-record:asce7_risk4_fl,{}
edge:0201,evidence-bundle:C3-asce7_risk4_fl-S20260830,BINDS_MODAL_RUN,run:C3-FT14,{}
edge:0202,case:C3-asce7_risk4_fl-S20260830,IN_GROUP,group:G0_site,{}
edge:0203,case:C3-asce7_risk4_fl-S20260830,TARGETS_MODEL,model:C3,"{""response_state"": ""NOT_MATERIALIZED""}"
edge:0204,case:C3-asce7_risk4_fl-S20260830,HAS_RESPONSE_STATE,response:C3-asce7_risk4_fl-S20260830,{}
edge:0205,case:C3-asce7_risk4_fl-S20260830,HAS_AGENT_TRACE,trace:C3-asce7_risk4_fl-S20260830,{}
edge:0206,legacy-result:asce7_risk4_fl,PART_OF_LEGACY_RESULT_SET,legacy:I08-double-mct,{}
edge:0207,legacy-result:asce7_risk4_fl,PROVENANCE_ONLY,case:C3-asce7_risk4_fl-S20260830,"{""numerical_value_transfer"": false}"
edge:0208,trace:C3-asce7_risk4_fl-S20260830,HAS_STEP,decision:C3-asce7_risk4_fl-S20260830:1,"{""step"": 1}"
edge:0209,decision:C3-asce7_risk4_fl-S20260830:1,EXECUTED_BY,agent:AuthorityAgent,{}
edge:0210,trace:C3-asce7_risk4_fl-S20260830,HAS_STEP,decision:C3-asce7_risk4_fl-S20260830:2,"{""step"": 2}"
edge:0211,decision:C3-asce7_risk4_fl-S20260830:2,EXECUTED_BY,agent:SolverEvidenceAgent,{}
edge:0212,decision:C3-asce7_risk4_fl-S20260830:1,NEXT_STEP,decision:C3-asce7_risk4_fl-S20260830:2,{}
edge:0213,trace:C3-asce7_risk4_fl-S20260830,HAS_STEP,decision:C3-asce7_risk4_fl-S20260830:3,"{""step"": 3}"
edge:0214,decision:C3-asce7_risk4_fl-S20260830:3,EXECUTED_BY,agent:PhysicsBoundaryAgent,{}
edge:0215,decision:C3-asce7_risk4_fl-S20260830:2,NEXT_STEP,decision:C3-asce7_risk4_fl-S20260830:3,{}
edge:0216,trace:C3-asce7_risk4_fl-S20260830,HAS_STEP,decision:C3-asce7_risk4_fl-S20260830:4,"{""step"": 4}"
edge:0217,decision:C3-asce7_risk4_fl-S20260830:4,EXECUTED_BY,agent:WarningPolicyAgent,{}
edge:0218,decision:C3-asce7_risk4_fl-S20260830:3,NEXT_STEP,decision:C3-asce7_risk4_fl-S20260830:4,{}
edge:0219,project:C3-43KG,HAS_CASE,case:C3-infa_2021_zhoushan-S20260830,{}
