id,type,properties_json
boundary:C3-native-response,PhysicsBoundary,"{""c3_response_state"": ""NOT_MATERIALIZED"", ""c3_wind_load_state"": ""NOT_MATERIALIZED"", ""legacy_numeric_value_transfer"": false}"
gate:C3-model-migration,ValidationGate,"{""response_execution_enabled"": false, ""scope"": ""MODEL_MIGRATION_ONLY"", ""status"": ""PASS_WHEN_ACCEPTANCE_CHECKS_PASS""}"
policy:warning-not-armed,WarningPolicy,"{""c3_case_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""legacy_numeric_value_transfer"": false, ""warning_status"": ""NOT_ARMED""}"
limitation:01,Limitation,"{""applies_to_c3_as"": ""PROVENANCE_BOUNDARY"", ""statement"": ""Frozen QA capacity_status identifies evidence scope rather than a signed capacity pass.""}"
limitation:02,Limitation,"{""applies_to_c3_as"": ""PROVENANCE_BOUNDARY"", ""statement"": ""Gantry breaking force is unavailable and remains NOT_EVALUATED.""}"
limitation:03,Limitation,"{""applies_to_c3_as"": ""PROVENANCE_BOUNDARY"", ""statement"": ""A no-slack linear ROM row does not establish a nonlinear validity gate.""}"
agent:AuthorityAgent,Agent,"{""deterministic"": true, ""name"": ""AuthorityAgent"", ""policy"": {""decision_contract"": ""Confirm exact source scenario identity and retain both source order and C3 order."", ""migration_action"": ""RULE_PORT_WITH_FULL_AUTHORITY_MATRIX"", ""name"": ""AuthorityAgent"", ""prohibited_claims"": [""C3 order is the source GitHub authority order"", ""C3 classification overwrites source stationarity""], ""required_inputs"": [""authority/I08_AUTHORITY.json"", ""authority/I08_GITHUB_43_CASE_MATRIX.csv"", ""case_migration_matrix.csv""]}}"
agent:SolverEvidenceAgent,Agent,"{""deterministic"": true, ""name"": ""SolverEvidenceAgent"", ""policy"": {""decision_contract"": ""Bind the released C3 deck, custom solver and fourteen-mode receipt while keeping every C3 wind-case response NOT_MATERIALIZED."", ""migration_action"": ""C3_NATIVE_EVIDENCE_ADAPTER"", ""name"": ""SolverEvidenceAgent"", ""prohibited_claims"": [""Double-MCT response is C3 response"", ""fourteen modal frequencies are a forty-three-case buffeting solve""], ""required_inputs"": [""model_binding.json"", ""modes_c3_ft14.csv"", ""table41_c3_pairing.csv""]}}"
agent:PhysicsBoundaryAgent,Agent,"{""deterministic"": true, ""name"": ""PhysicsBoundaryAgent"", ""policy"": {""decision_contract"": ""Separate source stationarity from C3 eligibility and require a C3-native wind mapping and response solve before engineering conclusions."", ""migration_action"": ""RULE_PORT_WITH_C3_ELIGIBILITY_OVERLAY"", ""name"": ""PhysicsBoundaryAgent"", ""prohibited_claims"": [""wind-pressure index is structural response"", ""legacy ROM metrics validate C3"", ""C3 envelope-only means source nonstationary""], ""required_inputs"": [""case_migration_matrix.csv"", ""source_asset_inventory.json""]}}"
agent:WarningPolicyAgent,Agent,"{""deterministic"": true, ""name"": ""WarningPolicyAgent"", ""policy"": {""decision_contract"": ""Keep warning status NOT_ARMED and dispatch false until C3-native response, thresholds and human review are materialized."", ""migration_action"": ""POLICY_PORT_WITH_OUTPUT_DISABLED"", ""name"": ""WarningPolicyAgent"", ""prohibited_claims"": [""NOT_ARMED is a structural safety pass"", ""a demo answer authorizes dispatch""], ""required_inputs"": [""generated/validation.json"", ""generated/migration_acceptance.json""]}}"
source-asset:I08:01,SourceAsset,"{""category"": ""delivery_metadata"", ""disposition"": ""PROVENANCE_ONLY"", ""git_blob_sha1"": ""173a3d393998b1d08a0af4d500007ad7348c7e0d"", ""numeric_value_transfer"": false, ""path"": ""README.md"", ""sha256"": ""c63d1a6782bccb89218a0378c14147a053a7c513938afc9ad7c32de179dbf384"", ""size_bytes"": 5018, ""target"": ""legacy_double_mct_lineage.json""}"
source-asset:I08:02,SourceAsset,"{""category"": ""delivery_metadata"", ""disposition"": ""PROVENANCE_ONLY"", ""git_blob_sha1"": ""d18a4338f01d4ff4adf0d77eebecfb4d131f5090"", ""numeric_value_transfer"": false, ""path"": ""SHA256SUMS.txt"", ""sha256"": ""6c1bbed19fae22aa2f345552ce55a45055ed39959ff4d71447c5ee5425db7079"", ""size_bytes"": 3457, ""target"": ""legacy_double_mct_lineage.json""}"
source-asset:I08:03,SourceAsset,"{""category"": ""authority"", ""disposition"": ""VENDORED_EXACT_AUTHORITY"", ""git_blob_sha1"": ""171e403fba7b23588c3375130fffdae537f5e00c"", ""numeric_value_transfer"": false, ""path"": ""authority/AUTHORITY.json"", ""sha256"": ""df10da1c759cea9e93c065d9456e583a1944b7b3eb1a730ea048f1821dddc5b7"", ""size_bytes"": 5209, ""target"": ""authority/I08_AUTHORITY.json""}"
source-asset:I08:04,SourceAsset,"{""category"": ""authority"", ""disposition"": ""VENDORED_NORMALIZED_AUTHORITY"", ""git_blob_sha1"": ""373b1adf0bc6d1986c8001bd22122d464314f138"", ""numeric_value_transfer"": false, ""path"": ""authority/I08_GITHUB_43_CASE_MATRIX.csv"", ""sha256"": ""12673049d2cfae885fb5a35d855441e7385b644d1182a7cc020d5e49f5e28b7f"", ""size_bytes"": 29940, ""target"": ""authority/I08_GITHUB_43_CASE_MATRIX.csv""}"
source-asset:I08:05,SourceAsset,"{""category"": ""authority"", ""disposition"": ""SOURCE_JSON_BOUND_BY_HASH_CSV_VENDORED"", ""git_blob_sha1"": ""16088350106d3e776d4c28539ec1661a33118c75"", ""numeric_value_transfer"": false, ""path"": ""authority/I08_GITHUB_43_CASE_MATRIX.json"", ""sha256"": ""8f0ed5a30625b998b982caa32453518abd374f1c2c6312989b2548786e2a7b72"", ""size_bytes"": 74030, ""target"": ""authority/I08_GITHUB_43_CASE_MATRIX.csv""}"
source-asset:I08:06,SourceAsset,"{""category"": ""documentation"", ""disposition"": ""SOURCE_DOCUMENT_BOUND_BY_HASH_C3_DOC_REWRITTEN"", ""git_blob_sha1"": ""a2cbe7882ff8d40d323bf11760cf845f6868e2e4"", ""numeric_value_transfer"": false, ""path"": ""document/I08_CCX43_FINAL_SUMMARY.md"", ""sha256"": ""565821ec8f5fdf1b077fb49aa420fa7c11cd1f3e9b6a7f5272fb47e73529d707"", ""size_bytes"": 6498, ""target"": ""C3_BUFFETING_43CASES_KG.md""}"
source-asset:I08:07,SourceAsset,"{""category"": ""documentation"", ""disposition"": ""SOURCE_DOCUMENT_BOUND_BY_HASH_C3_DOC_REWRITTEN"", ""git_blob_sha1"": ""eae9462ea31f1eb40cd309527cc45aee39cd674f"", ""numeric_value_transfer"": false, ""path"": ""document/I08_DELIVERY_MANIFEST.md"", ""sha256"": ""02bc065a28ab9c563183dd642ae6ccbdf431b072182253a6a61a76660234c69f"", ""size_bytes"": 2986, ""target"": ""C3_BUFFETING_43CASES_KG.md""}"
source-asset:I08:08,SourceAsset,"{""category"": ""documentation"", ""disposition"": ""SOURCE_DOCUMENT_BOUND_BY_HASH_C3_DOC_REWRITTEN"", ""git_blob_sha1"": ""e5f40579566c525d476019954b18fdc731fa83c1"", ""numeric_value_transfer"": false, ""path"": ""document/I08_DELIVERY_SHA256SUMS.txt"", ""sha256"": ""98508306d133d6dc6330222f607fc4839aedd32ae4dd371ccae5f36fe33a376a"", ""size_bytes"": 601, ""target"": ""C3_BUFFETING_43CASES_KG.md""}"
source-asset:I08:09,SourceAsset,"{""category"": ""documentation"", ""disposition"": ""SOURCE_DOCUMENT_BOUND_BY_HASH_C3_DOC_REWRITTEN"", ""git_blob_sha1"": ""a1ca019957d1580655138a0acc685263f87a58bd"", ""numeric_value_transfer"": false, ""path"": ""document/超长猫道智能预警系统_第二章抖振知识图谱与智能体推演_20260830_FINAL_R1.pdf"", ""sha256"": ""2d17882bfce050f66d68579ea42cbbf3354f69e005ce7c4e591d055f54d86c28"", ""size_bytes"": 4958931, ""target"": ""C3_BUFFETING_43CASES_KG.md""}"
source-asset:I08:10,SourceAsset,"{""category"": ""audit_log"", ""disposition"": ""AUDIT_LOG_RETAINED_IN_SOURCE_BRANCH"", ""git_blob_sha1"": ""71c5b5298215304de17b3a1a0571d149636f8203"", ""numeric_value_transfer"": false, ""path"": ""errors/CHAPTER2_PDF_ERROR_LOG.md"", ""sha256"": ""0053babc3e9ad54beb51d6c956dfcd993d3e8313e26b6821ff4341dc45caf990"", ""size_bytes"": 6829, ""target"": ""source_asset_inventory.json""}"
source-asset:I08:11,SourceAsset,"{""category"": ""audit_log"", ""disposition"": ""AUDIT_LOG_RETAINED_IN_SOURCE_BRANCH"", ""git_blob_sha1"": ""46c7dbcab0f8626530b35495c7d89912060a727b"", ""numeric_value_transfer"": false, ""path"": ""errors/ERROR_LOG.md"", ""sha256"": ""5b9c1828ac6b7afe83cbde8d019f13c51f2fe3362e7dda96bad20496f4eacab0"", ""size_bytes"": 48678, ""target"": ""source_asset_inventory.json""}"
source-asset:I08:12,SourceAsset,"{""category"": ""audit_log"", ""disposition"": ""AUDIT_LOG_RETAINED_IN_SOURCE_BRANCH"", ""git_blob_sha1"": ""65351d03be7f1d9e5e8599aa941521bdc854621f"", ""numeric_value_transfer"": false, ""path"": ""errors/GITHUB_PUBLISH_ERROR_LOG.md"", ""sha256"": ""7cbb9dfb7878373bf15421e0b8b5f16ffca673af36c375255f6bf799f6a7c7f5"", ""size_bytes"": 2957, ""target"": ""source_asset_inventory.json""}"
source-asset:I08:13,SourceAsset,"{""category"": ""audit_log"", ""disposition"": ""AUDIT_LOG_RETAINED_IN_SOURCE_BRANCH"", ""git_blob_sha1"": ""caeeaf5bfde0b5516f88d8ead59b22559887cf90"", ""numeric_value_transfer"": false, ""path"": ""errors/I08_ERROR_LOG.md"", ""sha256"": ""140cbdb5fb0fa9fc34c4f57813525c3ac1dc2b1c6ace1805e7eaa466ca328b2f"", ""size_bytes"": 11634, ""target"": ""source_asset_inventory.json""}"
source-asset:I08:14,SourceAsset,"{""category"": ""audit_log"", ""disposition"": ""AUDIT_LOG_RETAINED_IN_SOURCE_BRANCH"", ""git_blob_sha1"": ""792e1f6e12f37b37195f353cbce3308195434c82"", ""numeric_value_transfer"": false, ""path"": ""errors/I08_KG_ERROR_LOG.md"", ""sha256"": ""15fd49b080e780ab23abf800e79cf3199990c3d8444ada10eb35c651d02a51f6"", ""size_bytes"": 884, ""target"": ""source_asset_inventory.json""}"
source-asset:I08:15,SourceAsset,"{""category"": ""legacy_execution_receipt"", ""disposition"": ""PROVENANCE_ONLY_C3_REQUIRES_NATIVE_EXECUTION"", ""git_blob_sha1"": ""0af64255ea5a21d073e393ba6ba59b004e3535fd"", ""numeric_value_transfer"": false, ""path"": ""execution/I08_ATOMIC_STABILITY_AUDIT.json"", ""sha256"": ""bc2f4f9e2b8f15216d5dce85a9d871bcb7b628814533bf6866fd801b9bd090f4"", ""size_bytes"": 44197, ""target"": ""generated/migration_acceptance.json""}"
source-asset:I08:16,SourceAsset,"{""category"": ""legacy_execution_receipt"", ""disposition"": ""PROVENANCE_ONLY_C3_REQUIRES_NATIVE_EXECUTION"", ""git_blob_sha1"": ""96bb021de650755f44f0b069f5cd88115f4a0d1c"", ""numeric_value_transfer"": false, ""path"": ""execution/I08_JOB_MANIFEST.json"", ""sha256"": ""328177970bb9bea6c0da6e5e455e6edf5bcfed77cf9b1c21076a76bd22ad7905"", ""size_bytes"": 131785, ""target"": ""generated/migration_acceptance.json""}"
source-asset:I08:17,SourceAsset,"{""category"": ""legacy_execution_receipt"", ""disposition"": ""PROVENANCE_ONLY_C3_REQUIRES_NATIVE_EXECUTION"", ""git_blob_sha1"": ""22627661179a31dbca5156208f0a7bcdf01f5217"", ""numeric_value_transfer"": false, ""path"": ""execution/I08_PIPELINE_SELF_CHECK.json"", ""sha256"": ""30067c932e1bb9491f5f7a0486cf76099a27ac8218c262940781d364afc7911b"", ""size_bytes"": 3253, ""target"": ""generated/migration_acceptance.json""}"
source-asset:I08:18,SourceAsset,"{""category"": ""legacy_execution_receipt"", ""disposition"": ""PROVENANCE_ONLY_C3_REQUIRES_NATIVE_EXECUTION"", ""git_blob_sha1"": ""ba89c082dbfd8cfd29ffff9c9640a1fb01aa5ff8"", ""numeric_value_transfer"": false, ""path"": ""execution/I08_RESULT_MANIFEST.json"", ""sha256"": ""e16fb9a6b7385947511489e7a8e8554e64654152718a6087f1fcdcb66fa06b3a"", ""size_bytes"": 64290, ""target"": ""generated/migration_acceptance.json""}"
source-asset:I08:19,SourceAsset,"{""category"": ""legacy_execution_receipt"", ""disposition"": ""PROVENANCE_ONLY_C3_REQUIRES_NATIVE_EXECUTION"", ""git_blob_sha1"": ""95b216108685529396edb577172e2b85df1554c8"", ""numeric_value_transfer"": false, ""path"": ""execution/I08_ROOT_EXECUTION_GATE.json"", ""sha256"": ""960fb14bcf53a3562489e5a31f9703d713253d906be2db870fa6098586923e91"", ""size_bytes"": 3637, ""target"": ""generated/migration_acceptance.json""}"
source-asset:I08:20,SourceAsset,"{""category"": ""legacy_knowledge_graph"", ""disposition"": ""RULES_REEXECUTED_ON_C3_NO_TRACE_VALUE_COPY"", ""git_blob_sha1"": ""20eece98e6a5c2c73685e56457e0fa8216943f7e"", ""numeric_value_transfer"": false, ""path"": ""kg/I08_AGENT_SIMULATION_43_TRACE.csv"", ""sha256"": ""c9e6e674c67e5472c36e5f4ee8c43956b0b229eeb8cef134cf3fe327ea8c91d6"", ""size_bytes"": 298124, ""target"": ""generated/c3_agent_traces_43.csv""}"
source-asset:I08:21,SourceAsset,"{""category"": ""legacy_knowledge_graph"", ""disposition"": ""SOURCE_GRAPH_RECEIPT_BOUND_BY_HASH"", ""git_blob_sha1"": ""70b925af913ccca3f3b29bd107d4eb121342909c"", ""numeric_value_transfer"": false, ""path"": ""kg/I08_KG_BUILD_STATUS.json"", ""sha256"": ""9d8517965acffdb6b228779a237e6035f45a04ebb950362573df70b0b6339b3a"", ""size_bytes"": 2293, ""target"": ""generated/migration_acceptance.json""}"
source-asset:I08:22,SourceAsset,"{""category"": ""legacy_knowledge_graph"", ""disposition"": ""SOURCE_GRAPH_RECEIPT_BOUND_BY_HASH"", ""git_blob_sha1"": ""b5ba72682d4a1b5e023e5ea4971e16d98f667977"", ""numeric_value_transfer"": false, ""path"": ""kg/I08_KG_SELF_CHECK.json"", ""sha256"": ""6fad2101ec20e6754df55751e79e546658b47677c53ca290e3aaaa759e6fc8ea"", ""size_bytes"": 2220, ""target"": ""generated/migration_acceptance.json""}"
source-asset:I08:23,SourceAsset,"{""category"": ""legacy_knowledge_graph"", ""disposition"": ""SOURCE_GRAPH_RECEIPT_BOUND_BY_HASH"", ""git_blob_sha1"": ""c56a207dc8be9f301c52dddbb6fc5e482186fc83"", ""numeric_value_transfer"": false, ""path"": ""kg/I08_KG_SHA256SUMS.txt"", ""sha256"": ""1e55edb988115abd0273fb2a0c502baf9aae8d716b825cdcfd4a6ee14a74a9c9"", ""size_bytes"": 1126, ""target"": ""generated/migration_acceptance.json""}"
source-asset:I08:24,SourceAsset,"{""category"": ""legacy_rom_model"", ""disposition"": ""PROVENANCE_ONLY_NO_ROM_VALUE_TRANSFER"", ""git_blob_sha1"": ""416b3337d20be8214e962e1bc123d26820a2e271"", ""numeric_value_transfer"": false, ""path"": ""model/FULLMCT_ROM_BUILD_AUDIT.json"", ""sha256"": ""940f92a7941c326846bc9ac4d606b61b43d50981a5054d8375ac359b0530e65d"", ""size_bytes"": 3532, ""target"": ""model_binding.json""}"
source-asset:I08:25,SourceAsset,"{""category"": ""legacy_rom_model"", ""disposition"": ""PROVENANCE_ONLY_NO_ROM_VALUE_TRANSFER"", ""git_blob_sha1"": ""53ed6888c2244a2dd51cd8f56b7babda1d8db3e0"", ""numeric_value_transfer"": false, ""path"": ""model/FULLMCT_ROM_COORDINATE_MAP.csv"", ""sha256"": ""ef30ce214541c655e6da97da0c727c3265b7d0cb083cdb800c86c04fd9529c4e"", ""size_bytes"": 9807, ""target"": ""model_binding.json""}"
source-asset:I08:26,SourceAsset,"{""category"": ""legacy_rom_model"", ""disposition"": ""PROVENANCE_ONLY_NO_ROM_VALUE_TRANSFER"", ""git_blob_sha1"": ""7574f6326a26f00f7b6e083564beff4f4bac0dfb"", ""numeric_value_transfer"": false, ""path"": ""model/FULLMCT_ROM_DYNAMIC_MODE_ERROR.csv"", ""sha256"": ""caa821ca77be37a1e26c5d1a47dbed6ab41fbc3f2346700ec64cc8a295630dec"", ""size_bytes"": 17684, ""target"": ""model_binding.json""}"
