item_id,category,role,path,required,exists,size_bytes,modified_utc,sha256
S011,geometry,权威恒载分项,D:\张靖皋大桥\02_CAD几何模型\Catwalk_FullLine_ANSYS_AIValidation_V1.0\authoritative_mct_deadload_v1_items.csv,True,True,5994,2026-07-11T18:46:55.234333+00:00,d781d7042273951ce45c1c9b311ad2bc3d214fdab5febf68680b4c02545cab25
S012,geometry,权威恒载节点映射,D:\张靖皋大桥\02_CAD几何模型\Catwalk_FullLine_ANSYS_AIValidation_V1.0\authoritative_mct_deadload_v1_conload_mapping.csv,True,True,831430,2026-07-11T18:46:55.356230+00:00,99e3a14e3f368d4bc2262347387b64daafc46dedbe5a9fc30261eba1795fe475
S013,geometry,门架变高度站位,D:\张靖皋大桥\02_CAD几何模型\Catwalk_FullLine_ANSYS_AIValidation_V1.0\variable_height_gate_stations.csv,True,True,25996,2026-07-10T07:26:38.587971+00:00,56e8ea3aeb67596b157b7fd947ab3d4e52d828d94526cc6bf4e74fe7dac72ec7
S014,geometry,门架与索连接映射,D:\张靖皋大桥\02_CAD几何模型\Catwalk_FullLine_ANSYS_AIValidation_V1.0\gate_rope_couplings.csv,True,True,355178,2026-07-10T06:21:30.901987+00:00,e64eab1344a8db880e92df63b5c796d02253f07526f5d5e5bab83f44ae397090
S015,geometry,门架中心线节点,D:\张靖皋大桥\02_CAD几何模型\Catwalk_FullLine_ANSYS_AIValidation_V1.0\gate_centerline_nodes.csv,True,True,81847,2026-07-10T06:21:30.878800+00:00,f3a9604cf24adff7bb128cb858ddda40d87280762b8ae16247913be35eee061c
S016,geometry,门架中心线单元,D:\张靖皋大桥\02_CAD几何模型\Catwalk_FullLine_ANSYS_AIValidation_V1.0\gate_centerline_elements.csv,True,True,20123,2026-07-10T06:21:30.881795+00:00,5faf1c56e688d0198debd717acb9573fb861d4bf698b152e7f1d30b1518da858
S017,module,横通道中段节点模板,D:\张靖皋大桥\output\freecad\cross_passage_local_coordinates\middle_nodes.csv,True,True,1453,2026-07-10T07:15:37.349090+00:00,c2ef0793411fe2f29b381d6deed16e519c96cb941b234cefba58f3fa2c28edaa
S018,module,横通道中段杆件模板,D:\张靖皋大桥\output\freecad\cross_passage_local_coordinates\middle_edges.csv,True,True,4124,2026-07-10T07:15:37.350090+00:00,c05caf094f7b1c619625ca0664d6e60826ffef43ff2c77491151324c19b71d24
S019,module,横通道调节段节点模板,D:\张靖皋大桥\output\freecad\cross_passage_local_coordinates\adjustment_nodes.csv,True,True,1310,2026-07-10T07:15:39.506004+00:00,29058e62f7a38f8aa330f6a454b2787cecc54e73467320c111d13f9f1c72f9d7
S020,module,横通道调节段杆件模板,D:\张靖皋大桥\output\freecad\cross_passage_local_coordinates\adjustment_edges.csv,True,True,3458,2026-07-10T07:15:39.506524+00:00,807c3e5a305552c8533a3de67dd2bf9d07546188477baebabec3d9bca3968fc9
S021,module,横通道尾段节点模板,D:\张靖皋大桥\output\freecad\cross_passage_local_coordinates\tail_nodes.csv,True,True,1705,2026-07-10T07:15:38.482941+00:00,3ff546ffe3701d615ce777ee34383079e994bcd079e8d8dc88af202336cd87e9
S022,module,横通道尾段杆件模板,D:\张靖皋大桥\output\freecad\cross_passage_local_coordinates\tail_edges.csv,True,True,4859,2026-07-10T07:15:38.483936+00:00,1afc0367407de7dd3da2293383997e0ae9babe30907e0ac3f5e167610425d4ae
S023,environment,MAPDL 2026 R1可执行文件,D:\ANSYS2026\ANSYS Inc\v261\ansys\bin\winx64\ANSYS261.exe,True,True,827608,2026-02-02T22:37:56.052616+00:00,6c6327f6b906db8e6dd498bd38c97685d7e3e4acf52fccbf243b2dff7ed7af1b
S024,post,模态识别与导出后处理,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\post\modal_identification_pipeline.py,True,True,184901,2026-07-13T04:30:55.188413+00:00,19406ec91aacf9e38f86d0f2d5aba71b8509b8a9a9acbdde27ad603db8a527c2
S025,source_model,MCT门架索合建文本模型,D:\张靖皋大桥\01_设计资料与规范\猫道 - 门架索合建模型2.mct,True,True,448673,2026-05-16T17:50:03.200606+00:00,0d18e3f7b009e0306fb4b9f3051b4a16d05fa24d9e966774e809b8942a4f22e1
S026,source_drawing,猫道原版图纸,D:\张靖皋大桥\01_设计资料与规范\00张靖皋长江大桥南航道桥猫道图纸1225.pdf,False,True,20566268,2026-04-16T10:16:50.690586+00:00,8df26c6b04f652b952e6cdf9575f34e76c8d014cbb61edf0b846c1c75d8bc113
S027,source_report,猫道结构复核报告,D:\张靖皋大桥\01_设计资料与规范\张靖皋长江大桥南航道桥 猫道结构复核计算报告0324.pdf,False,True,8749047,2026-04-17T09:52:23.641191+00:00,8b2f0eb267216cd7d1e9746adb28f8973b4614d27fa1e2290eb12c2a6a45ca90
S028,source_report,猫道结构抗风性能试验报告,D:\张靖皋大桥\01_设计资料与规范\附件2-3：猫道结构抗风性能试验报告.pdf,False,True,3188161,2026-06-03T07:44:22.224161+00:00,d17d4061c5726c10b88cc80f3f292b16f0dbf3408e032a30840b1bcaad9173d3
S029,legacy_frozen_output,B00 LEGACY冻结CERIG有限拓扑APDL include,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\builder\generated\apply_finite_gates_and_passages_v2.inp,True,True,2995311,2026-07-12T11:08:20.830679+00:00,51dc4dabba9d4ad1464d033fa69aba80cbaea79bcbed163fadb81e3b63211b98
S030,legacy_frozen_output,B00 LEGACY冻结空间化质量APDL include,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\apply_dynamic_mass21_spatialized_v2.inp,True,True,1976987,2026-07-12T11:22:59.709458+00:00,4f9cf3cac4d1b032abccf0c3dcca208f3a9e5c7d064b25fb47ebcdd3e6bcbc9f
S031,legacy_frozen_audit,B00 LEGACY冻结有限拓扑审计,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\builder\generated\build_audit.json,True,True,12329,2026-07-12T11:08:21.304266+00:00,83d0972bff78021b22250c331967bf175221e22f009b72a77d2643cf8ee7bd9d
S032,legacy_frozen_audit,B00 LEGACY冻结质量审计,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\mass21_spatialization_audit_v2.json,True,True,8132,2026-07-12T11:23:00.478558+00:00,3df93394c22454c18ef9e5f9ce1305d2d798d40f55e2eadc6e53c22a2a2e7e50
I001,authoritative_inp,基础索网与横梁,D:\张靖皋大桥\03_猫道动力分析\第一阶模态验证_V1.0\full_line_beam4_crossbeam_mesh_xlong.inp,True,True,5337905,2026-07-12T06:54:58.438348+00:00,be556489f10b90389c786c70e0455d29bc186c16ebbad61cd29c5b90a4c79957
I002,authoritative_inp,BEAM4到BEAM188转换,D:\张靖皋大桥\03_猫道动力分析\第一阶模态验证_V1.0\convert_crossbeams_beam4_to_beam188.inp,True,True,1026,2026-07-12T08:05:10.024957+00:00,2b78c42fea4d7bd234794aeb620a7453a5f20bca5b4e735208fc1c514b7f919f
I003,authoritative_inp,MCT等效下拉接口,D:\张靖皋大桥\03_猫道动力分析\第一阶模态验证_V1.0\apply_mct_downpull_equivalent_xlong.inp,True,True,2178,2026-07-12T06:54:58.440361+00:00,41e7282e8858626a111854c703d459baabe6541d4ca70d0771fd3a5dea8a58d3
I004,authoritative_inp,MCT位移支承,D:\张靖皋大桥\03_猫道动力分析\第一阶模态验证_V1.0\apply_mct_constraints_xlong.inp,True,True,13987,2026-07-12T06:54:58.442350+00:00,aaabb8bf3f6ebfe075b7c5a2ffb837d1b0cd1cb8f5bcd397c5473b87db550022
I005,authoritative_inp,LINK180权威初应力,D:\张靖皋大桥\03_猫道动力分析\第一阶模态验证_V1.0\apply_mct_authoritative_initial_state_link180.inp,True,True,3528129,2026-07-11T18:48:20.548541+00:00,d5958628a0e5b3159114aab35811bd2cceaffdc5ae865a4a295e359674ed9b53
I006,authoritative_inp,ROTY数值稳定约束,D:\张靖皋大桥\03_猫道动力分析\第一阶模态验证_V1.0\apply_modal_roty_stabilization_xlong.inp,True,True,46255,2026-07-12T08:05:10.032946+00:00,14b470525a3927233d4ec9da23b1b40c68e60611c767ae3c29758c728a08a253
I007,authoritative_inp,代表索组件,D:\张靖皋大桥\03_猫道动力分析\第一阶模态验证_V1.0\define_representative_rope_component.inp,True,True,85635,2026-07-12T08:05:10.428760+00:00,647672b0e39eb1d5ecdf934d467771c34c038dd400e6737a0726d41999ca708f
I008,authoritative_inp,权威二期恒载,D:\张靖皋大桥\03_猫道动力分析\第一阶模态验证_V1.0\apply_authoritative_mct_deadload_v1.inp,True,True,797530,2026-07-11T18:46:55.233329+00:00,3feb7eec692762d8324865611ae600a39e4b13cd777d8d5bb29896b2e1a1223e
I009,authoritative_inp,权威重力,D:\张靖皋大桥\03_猫道动力分析\第一阶模态验证_V1.0\apply_authoritative_mct_gravity_v1.inp,True,True,831,2026-07-11T18:46:27.184367+00:00,33238c02d9f8a0c7bfb4cd2d777e866453f5d51e5084254e21c09353337edb5e
